ENST00000566782.1	ENSG00000261657	SLC25A26
ENST00000411184.1	ENSG00000223116	AL157931.1
ENST00000418454.2	ENSG00000233440	HMGA1P6
ENST00000384428.1	ENSG00000207157	RNY3P4
ENST00000414345.2	ENSG00000229483	LINC00362
ENST00000517143.1	ENSG00000252952	RNU6-58P
ENST00000452855.1	ENSG00000235205	TATDN2P3
ENST00000443228.1	ENSG00000232849	LINC00363
ENST00000418445.1	ENSG00000236803	SDAD1P4
ENST00000434567.2	ENSG00000232163	RPLP1P13
ENST00000516556.1	ENSG00000252365	SNORD22
ENST00000443092.1	ENSG00000229558	SACS-AS1
ENST00000426409.2	ENSG00000235784	HNRNPA1P29
ENST00000445540.1	ENSG00000224394	GPC6-AS2
ENST00000391257.1	ENSG00000212559	RNA5SP35
ENST00000443778.2	ENSG00000232977	LINC00327
ENST00000436329.2	ENSG00000236520	GPC6-AS1
ENST00000425800.1	ENSG00000227893	LINC00352
ENST00000390768.1	ENSG00000212057	AL139318.1
ENST00000410197.1	ENSG00000222129	RNA5SP36
ENST00000457365.1	ENSG00000232102	MTCO3P2
ENST00000470538.2	ENSG00000242037	RN7SL585P
ENST00000433569.1	ENSG00000238230	LINC00391
ENST00000438290.2	ENSG00000227640	SOX21-AS1
ENST00000382133.4	ENSG00000205861	C1QTNF9B-AS1
ENST00000299197.6	ENSG00000235768	BRD7P5
ENST00000434403.1	ENSG00000237924	RPL21P112
ENST00000563184.1	ENSG00000260962	LINC00557
ENST00000516526.1	ENSG00000252335	RNU6-62P
ENST00000459449.1	ENSG00000238463	snoU13
ENST00000411366.1	ENSG00000223298	RNY3P8
ENST00000442969.1	ENSG00000196593	ANKRD20A19P
ENST00000363341.1	ENSG00000200211	RNY4P27
ENST00000604810.1	ENSG00000271492	MEMO1P5
ENST00000416909.1	ENSG00000223392	CLDN10-AS1
ENST00000439928.2	ENSG00000228741	RP11-309I15.1
ENST00000499499.2	ENSG00000247400	DNAJC3-AS1
ENST00000451446.1	ENSG00000225674	IPO7P2
ENST00000442927.1	ENSG00000229622	MTND5P2
ENST00000516886.1	ENSG00000252695	MIR2276
ENST00000430733.1	ENSG00000227213	SPATA13-AS1
ENST00000439477.1	ENSG00000227714	MTND6P18
ENST00000449656.1	ENSG00000240868	C1QTNF9-AS1
ENST00000445588.2	ENSG00000232373	MTCYBP3
ENST00000423502.1	ENSG00000234627	NUS1P3
ENST00000516092.1	ENSG00000251901	snR65
ENST00000561557.1	ENSG00000261498	LINC00566
ENST00000412282.1	ENSG00000226977	HMGN1P24
ENST00000414485.1	ENSG00000233545	CYCSP33
ENST00000482613.2	ENSG00000242614	RN7SL164P
ENST00000415152.1	ENSG00000233273	AMMECR1LP1
ENST00000440905.1	ENSG00000205822	TPTE2P6
ENST00000426420.1	ENSG00000235137	HSP90AB6P
ENST00000442322.1	ENSG00000243300	LINC00359
ENST00000582879.1	ENSG00000266216	AL359538.2
ENST00000455130.1	ENSG00000244615	PSPC1P2
ENST00000453253.1	ENSG00000234267	TULP3P1
ENST00000453498.1	ENSG00000243008	RP11-556N21.1
ENST00000606096.1	ENSG00000272329	RP11-65L19.4
ENST00000390174.1	ENSG00000211508	AL359538.1
ENST00000410540.1	ENSG00000222472	RN7SKP7
ENST00000384743.1	ENSG00000207474	RNY1P7
ENST00000516345.1	ENSG00000252154	SNORD112
ENST00000431005.2	ENSG00000225404	RPL26P34
ENST00000459402.1	ENSG00000238522	snoU13
ENST00000453862.1	ENSG00000233124	LINC00456
ENST00000438849.2	ENSG00000231417	IRX1P1
ENST00000365420.1	ENSG00000202290	RNA5SP37
ENST00000603247.1	ENSG00000271625	PSMA6P4
ENST00000457591.1	ENSG00000226695	ANKRD20A10P
ENST00000437334.1	ENSG00000226134	RP11-120E13.1
ENST00000459616.1	ENSG00000238407	snoU13
ENST00000443410.1	ENSG00000233291	RPL7AP61
ENST00000604129.1	ENSG00000270725	RP11-383H17.4
ENST00000429698.1	ENSG00000253771	TPTE2P1
ENST00000446770.1	ENSG00000232217	FTLP8
ENST00000411037.1	ENSG00000222969	RN7SKP8
ENST00000582699.1	ENSG00000263399	MIR3170
ENST00000595998.1	ENSG00000269189	RP11-573N10.1
ENST00000597248.1	ENSG00000269599	RP11-261P24.2
ENST00000505530.1	ENSG00000251299	SLC25A15P3
ENST00000432229.1	ENSG00000231194	FARP1-AS1
ENST00000604953.1	ENSG00000271437	RP11-295B17.6
ENST00000428810.1	ENSG00000232858	RPL34P27
ENST00000434547.1	ENSG00000224418	STK24-AS1
ENST00000545020.1	ENSG00000256305	AL359757.1
ENST00000401550.2	ENSG00000217686	NUS1P4
ENST00000413501.1	ENSG00000234056	AMER2-AS1
ENST00000451978.2	ENSG00000233549	CYCSP35
ENST00000457628.1	ENSG00000238169	LINC01053
ENST00000430810.1	ENSG00000233662	CALM2P4
ENST00000435725.2	ENSG00000225105	LINC01076
ENST00000476209.2	ENSG00000243366	RN7SL60P
ENST00000431134.2	ENSG00000235315	RPL23AP69
ENST00000439367.1	ENSG00000229918	DOCK9-AS1
ENST00000566356.1	ENSG00000261530	BTC
ENST00000408397.1	ENSG00000221324	AL590787.1
ENST00000568856.2	ENSG00000260509	RP11-271M24.2
ENST00000417594.2	ENSG00000231981	RPL7L1P12
ENST00000447693.1	ENSG00000234152	TCEB2P1
ENST00000577303.1	ENSG00000265546	RN7SL289P
ENST00000568277.1	ENSG00000260666	AC142293.3
ENST00000384568.1	ENSG00000207298	RNU6-83P
ENST00000362897.1	ENSG00000199767	RNU6-78P
ENST00000562781.1	ENSG00000260992	DOCK9-AS2
ENST00000447435.1	ENSG00000180803	RP11-467D10.2
ENST00000413224.1	ENSG00000230871	RPS6P23
ENST00000482473.2	ENSG00000242381	RN7SL741P
ENST00000561776.1	ENSG00000260334	GAST
ENST00000411226.1	ENSG00000223158	RNY1P3
ENST00000439079.1	ENSG00000231983	LINC00415
ENST00000491037.1	ENSG00000234005	GAPDHP22
ENST00000426037.2	ENSG00000228889	UBAC2-AS1
ENST00000426792.1	ENSG00000233963	ATP8A2P3
ENST00000364923.1	ENSG00000201793	RN7SKP9
ENST00000394213.2	ENSG00000218502	H2AFZP3
ENST00000384986.1	ENSG00000207719	MIR623
ENST00000425846.1	ENSG00000234706	PRUNEP1
ENST00000428776.1	ENSG00000228808	HMGB3P4
ENST00000603212.1	ENSG00000271559	RP11-380N8.6
ENST00000446203.1	ENSG00000238241	CCR12P
ENST00000431978.1	ENSG00000227882	PRKRIRP6
ENST00000582220.1	ENSG00000266207	AL583784.1
ENST00000366259.2	ENSG00000203441	LINC00449
ENST00000425466.1	ENSG00000234031	RPS3AP44
ENST00000390895.1	ENSG00000212197	RNY3P6
ENST00000437113.2	ENSG00000234168	LINC01039
ENST00000585599.1	ENSG00000237001	WASF3-AS1
ENST00000436148.1	ENSG00000234239	CFL1P8
ENST00000395943.3	ENSG00000230256	FGFR1OP2P1
ENST00000413365.1	ENSG00000223782	RPS21P8
ENST00000583390.1	ENSG00000263615	MIR4306
ENST00000456044.1	ENSG00000218198	RPS20P32
ENST00000430125.1	ENSG00000227659	CLYBL-AS2
ENST00000440657.1	ENSG00000232162	USP12-AS1
ENST00000416009.2	ENSG00000234303	CLYBL-AS1
ENST00000452222.1	ENSG00000230641	USP12-AS2
ENST00000444744.1	ENSG00000234772	LINC00412
ENST00000364375.1	ENSG00000201245	SNORA25
ENST00000459208.1	ENSG00000238305	snoU13
ENST00000384769.1	ENSG00000207500	SNORD102
ENST00000564841.1	ENSG00000260738	LINC00554
ENST00000384323.1	ENSG00000207051	SNORA27
ENST00000408829.1	ENSG00000221756	AL159977.1
ENST00000455914.1	ENSG00000225999	NDUFA12P1
ENST00000516438.1	ENSG00000252247	RNU6-70P
ENST00000431171.1	ENSG00000229609	LINC01079
ENST00000451989.1	ENSG00000236554	ASNSP3
ENST00000364372.1	ENSG00000201242	RNY1P1
ENST00000366409.1	ENSG00000203602	AL137059.1
ENST00000516690.1	ENSG00000252499	RNU6-63P
ENST00000432924.2	ENSG00000228501	RPL15P18
ENST00000414095.1	ENSG00000226703	NPM1P4
ENST00000568643.1	ENSG00000261125	HAP1
ENST00000603008.1	ENSG00000270632	RP11-340C20.3
ENST00000384600.1	ENSG00000207330	RNU6-73P
ENST00000451662.1	ENSG00000234650	PCCA-AS1
ENST00000499662.2	ENSG00000247381	PDX1-AS1
ENST00000567234.1	ENSG00000260704	LINC00543
ENST00000487762.2	ENSG00000242360	RN7SL272P
ENST00000454752.2	ENSG00000224356	RP11-151A6.4
ENST00000605192.1	ENSG00000271026	KATNBL1P1
ENST00000429873.1	ENSG00000235115	CHCHD2P8
ENST00000538139.1	ENSG00000234354	RPS26P47
ENST00000563843.1	ENSG00000261485	PAN3-AS1
ENST00000454311.1	ENSG00000237082	COX5BP6
ENST00000417549.1	ENSG00000232587	EEF1A1P3
ENST00000363970.1	ENSG00000200840	RNU6-82P
ENST00000457843.1	ENSG00000233009	NALCN-AS1
ENST00000421800.1	ENSG00000235472	EIF4A1P7
ENST00000365367.1	ENSG00000202237	RNU6-53P
