civic_name	uniprot_name	gene_overview
ALK	Q9UM73	2 clinical assertion(s) and 220 evidence item(s) for 54 variant(s) curated from 2 published source(s)
AKT1	P31749	0 clinical assertion(s) and 11 evidence item(s) for 7 variant(s) curated from 2 published source(s)
ARAF	P10398	0 clinical assertion(s) and 4 evidence item(s) for 2 variant(s) curated from 2 published source(s)
ABL1	P00519	1 clinical assertion(s) and 554 evidence item(s) for 126 variant(s) curated from 2 published source(s)
BRAF	P15056	10 clinical assertion(s) and 413 evidence item(s) for 115 variant(s) curated from 3 published source(s)
BRCA1	P38398	0 clinical assertion(s) and 44 evidence item(s) for 22 variant(s) curated from 2 published source(s)
BRCA2	P51587	0 clinical assertion(s) and 50 evidence item(s) for 14 variant(s) curated from 2 published source(s)
CCND1	P24385	0 clinical assertion(s) and 20 evidence item(s) for 3 variant(s) curated from 2 published source(s)
CCND2	P30279	0 clinical assertion(s) and 6 evidence item(s) for 3 variant(s) curated from 2 published source(s)
CCND3	P30281	0 clinical assertion(s) and 2 evidence item(s) for 2 variant(s) curated from 2 published source(s)
CCNE1	P24864	0 clinical assertion(s) and 12 evidence item(s) for 3 variant(s) curated from 1 published source(s)
CDK6	Q00534	0 clinical assertion(s) and 6 evidence item(s) for 3 variant(s) curated from 2 published source(s)
CDK4	P11802	0 clinical assertion(s) and 9 evidence item(s) for 4 variant(s) curated from 2 published source(s)
CDKN2A	P42771	0 clinical assertion(s) and 47 evidence item(s) for 22 variant(s) curated from 9 published source(s)
CDKN2A	Q8N726	0 clinical assertion(s) and 47 evidence item(s) for 22 variant(s) curated from 9 published source(s)
CEBPA	P49715	0 clinical assertion(s) and 8 evidence item(s) for 3 variant(s) curated from 3 published source(s)
PRKACA	P17612	1 clinical assertion(s) and 4 evidence item(s) for 1 variant(s) curated from 2 published source(s)
DNMT3A	Q9Y6K1	0 clinical assertion(s) and 38 evidence item(s) for 8 variant(s) curated from 2 published source(s)
EGFR	P00533	2 clinical assertion(s) and 498 evidence item(s) for 245 variant(s) curated from 3 published source(s)
ERBB2	P04626	3 clinical assertion(s) and 164 evidence item(s) for 46 variant(s) curated from 3 published source(s)
ESR1	P03372	0 clinical assertion(s) and 22 evidence item(s) for 9 variant(s) curated from 2 published source(s)
FGFR2	P21802	0 clinical assertion(s) and 46 evidence item(s) for 19 variant(s) curated from 2 published source(s)
FGFR3	P22607	1 clinical assertion(s) and 66 evidence item(s) for 20 variant(s) curated from 2 published source(s)
FLT3	P36888	7 clinical assertion(s) and 176 evidence item(s) for 53 variant(s) curated from 2 published source(s)
GATA2	P23769	0 clinical assertion(s) and 2 evidence item(s) for 2 variant(s) curated from 2 published source(s)
IDH1	O75874	0 clinical assertion(s) and 51 evidence item(s) for 9 variant(s) curated from 2 published source(s)
IDH2	P48735	0 clinical assertion(s) and 21 evidence item(s) for 4 variant(s) curated from 3 published source(s)
JAK2	O60674	0 clinical assertion(s) and 47 evidence item(s) for 25 variant(s) curated from 1 published source(s)
KIT	P10721	0 clinical assertion(s) and 279 evidence item(s) for 100 variant(s) curated from 1 published source(s)
KRAS	P01116	0 clinical assertion(s) and 418 evidence item(s) for 46 variant(s) curated from 1 published source(s)
MAP2K1	Q02750	0 clinical assertion(s) and 25 evidence item(s) for 18 variant(s) curated from 1 published source(s)
MEF2D	Q14814	0 clinical assertion(s) and 1 evidence item(s) for 1 variant(s) curated from 0 published source(s)
CSF1R	P07333	0 clinical assertion(s) and 7 evidence item(s) for 4 variant(s) curated from 0 published source(s)
