gene	entrez_id	variant	disease	doid	phenotypes	drugs	assertion_type	assertion_direction	clinical_significance	acmg_codes	amp_category	nccn_guideline	nccn_guideline_version	regulatory_approval	fda_companion_test	assertion_summary	assertion_description	assertion_id	evidence_item_ids	variant_id	gene_id	last_review_date	assertion_civic_url	evidence_items_civic_url	variant_civic_url	gene_civic_url
ERBB2	2064	AMPLIFICATION	Her2-receptor Positive Breast Cancer	0060079		Trastuzumab	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Breast Cancer	3.2017	true	true	HER2 amplification predicts sensitivity to Trastuzumab	HER2 amplification defines a clinically relevant subtype of breast cancer. HER2 amplification predicts sensitivity to various targeted therapies including the monoclonal antibody Trastuzumab. The use of Trastuzumab, often in combination with chemotherapy and/or endocrine therapy (depending on hormone receptor status), is now standard of care for HER2-positive breast cancer patients.	2	1122,528,529	18	20	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/2	https://civic.genome.wustl.edu/links/evidence_items/1122,https://civic.genome.wustl.edu/links/evidence_items/528,https://civic.genome.wustl.edu/links/evidence_items/529	https://civic.genome.wustl.edu/links/variants/18	https://civic.genome.wustl.edu/links/genes/20
ALK	238	ALK FUSIONS	Lung Non-small Cell Carcinoma	3908		Crizotinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	9.2017	true	true	Lung adenocarcinoma positive for ALK-FUSIONS have been found to be sensitive to crizotinib treatment	ALK-FUSIONS induce an active form of the receptor tyrosine kinase ALK.  ALK-FUSIONS are found in 3-5% of non-small cell lung cancer and act as a targetable driver mutation. the ALK inhibitor crizotinib was effective in lung cancer patients with ALK fusions and was granted accelerated FDA approval in 2011. The Vysis break-apart FISH assay is an FDA approved test for the presence of ALK fusion. NCCN guideline version 9.2017 lists crizotinib as approved first-line NSCLC treatment in the presence of ALK fusions but now lists alectinib as preferred first-line therapy.	3	1189,1187,1198,1199,4858,1200,1201,1419,1577,1691,262,1207,1245,1197,1356,1193,1190,1196	499	1	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/3	https://civic.genome.wustl.edu/links/evidence_items/1189,https://civic.genome.wustl.edu/links/evidence_items/1187,https://civic.genome.wustl.edu/links/evidence_items/1198,https://civic.genome.wustl.edu/links/evidence_items/1199,https://civic.genome.wustl.edu/links/evidence_items/4858,https://civic.genome.wustl.edu/links/evidence_items/1200,https://civic.genome.wustl.edu/links/evidence_items/1201,https://civic.genome.wustl.edu/links/evidence_items/1419,https://civic.genome.wustl.edu/links/evidence_items/1577,https://civic.genome.wustl.edu/links/evidence_items/1691,https://civic.genome.wustl.edu/links/evidence_items/262,https://civic.genome.wustl.edu/links/evidence_items/1207,https://civic.genome.wustl.edu/links/evidence_items/1245,https://civic.genome.wustl.edu/links/evidence_items/1197,https://civic.genome.wustl.edu/links/evidence_items/1356,https://civic.genome.wustl.edu/links/evidence_items/1193,https://civic.genome.wustl.edu/links/evidence_items/1190,https://civic.genome.wustl.edu/links/evidence_items/1196	https://civic.genome.wustl.edu/links/variants/499	https://civic.genome.wustl.edu/links/genes/1
VHL	7428	R167Q (c.500G>A)	Von Hippel-Lindau Disease	14175	Retinal capillary hemangioma,Pheochromocytoma,Renal cell carcinoma,Cerebellar hemangioblastoma		Predisposing	Supports	Pathogenic	PS4,PM1,PM2,PP1,PP4				false	false	R167Q (c.500G>A) is a pathogenic variant for Von Hippel-Lindau	R167Q is the most common mutation associated with Von Hippel-Lindau syndrome. This variant is very rare in the general population at 4.061e-6 in the gnomAD exomes (v2.0.2) proving ACMG code PM2. The variant occurs within the functional domain, disrupting VHL binding to elongin C (ACMG code PM1). Additional codes are provided by the following EIDs. 4913 (PS4), 5062 (PP4), 5264 (PS4), 5354 (PP4), 5487 and 4913 (PP1).	4	5546,5487,4913,5062,5264,5354,5485	1739	58	2019-05-22 15:33:32 UTC	https://civic.genome.wustl.edu/links/assertions/4	https://civic.genome.wustl.edu/links/evidence_items/5546,https://civic.genome.wustl.edu/links/evidence_items/5487,https://civic.genome.wustl.edu/links/evidence_items/4913,https://civic.genome.wustl.edu/links/evidence_items/5062,https://civic.genome.wustl.edu/links/evidence_items/5264,https://civic.genome.wustl.edu/links/evidence_items/5354,https://civic.genome.wustl.edu/links/evidence_items/5485	https://civic.genome.wustl.edu/links/variants/1739	https://civic.genome.wustl.edu/links/genes/58
EGFR	1956	L858R	Lung Non-small Cell Carcinoma	3908		Erlotinib,Gefitinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	3.2018	true	true	Non-small cell lung cancer with EGFR L858R mutation is sensitive to erlotininb or gefitinib.	L858R is among the most common sensitizing EGFR mutations in NSCLC, and is assessed via DNA mutational analysis including Sanger sequencing and next generation sequencing methods. Tyrosine kinase inhibitors erlotinib and gefitinib are associated with improved progression free survival over chemotherapy in EGFR L858R patients. NCCN guidelines recommend (category 1) erlotinib and gefitinib for NSCLC with sensitizing EGFR mutations, along with afatinib and osimertinib.	5	2624,276,1665,2621,2625,3811,2634,229,4291,4290,4285,4265,885,2994	33	19	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/5	https://civic.genome.wustl.edu/links/evidence_items/2624,https://civic.genome.wustl.edu/links/evidence_items/276,https://civic.genome.wustl.edu/links/evidence_items/1665,https://civic.genome.wustl.edu/links/evidence_items/2621,https://civic.genome.wustl.edu/links/evidence_items/2625,https://civic.genome.wustl.edu/links/evidence_items/3811,https://civic.genome.wustl.edu/links/evidence_items/2634,https://civic.genome.wustl.edu/links/evidence_items/229,https://civic.genome.wustl.edu/links/evidence_items/4291,https://civic.genome.wustl.edu/links/evidence_items/4290,https://civic.genome.wustl.edu/links/evidence_items/4285,https://civic.genome.wustl.edu/links/evidence_items/4265,https://civic.genome.wustl.edu/links/evidence_items/885,https://civic.genome.wustl.edu/links/evidence_items/2994	https://civic.genome.wustl.edu/links/variants/33	https://civic.genome.wustl.edu/links/genes/19
EGFR	1956	L858R	Lung Non-small Cell Carcinoma	3908		Afatinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	3.2018	true	true	EGFR L858R positive NSCLC is sensitive to afatinib.	L858R is among the most common sensitizing EGFR mutations in NSCLC, and is assessed via DNA mutational analysis, including Sanger sequencing and next generation sequencing methods. Tyrosine kinase inhibitor afatinib is FDA approved, and is recommended (category 1) by NCCN guidelines along with erlotinib, gefitinib and osimertinib as first line systemic therapy in NSCLC with sensitizing EGFR mutation.	6	883,968,982,2629,2997,879	33	19	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/6	https://civic.genome.wustl.edu/links/evidence_items/883,https://civic.genome.wustl.edu/links/evidence_items/968,https://civic.genome.wustl.edu/links/evidence_items/982,https://civic.genome.wustl.edu/links/evidence_items/2629,https://civic.genome.wustl.edu/links/evidence_items/2997,https://civic.genome.wustl.edu/links/evidence_items/879	https://civic.genome.wustl.edu/links/variants/33	https://civic.genome.wustl.edu/links/genes/19
BRAF	673	V600E	Melanoma	1909		Trametinib,Dabrafenib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600E mutant melanoma is sensitive to dabrafenib and trametinib combination therapy	Combination treatment of BRAF inhibitor dabrafenib and MEK inhibitor trametinib is recommended for adjuvant treatment of stage III or recurrent melanoma with BRAF V600E mutation detected by the approved THxID kit, as well as first line treatment for metastatic melanoma. The treatments are FDA approved and NCCN guidelines recommend these treatments as category 1 based on studies including the Phase III COMBI-V, COMBI-D and COMBI-AD Trials. Combination therapy is now recommended above BRAF inhibitor monotherapy. Dabrafenib and trametinib are recommend as NCCN Category 2A for second line therapy in metastatic melanoma due to lack of clear Phase III trial data for this use case. Cutaneous squamous-cell carcinoma and keratoacanthoma occur at lower rates with combination therapy than with BRAF inhibitor alone.	7	6178,6938,6940,3758	12	5	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/7	https://civic.genome.wustl.edu/links/evidence_items/6178,https://civic.genome.wustl.edu/links/evidence_items/6938,https://civic.genome.wustl.edu/links/evidence_items/6940,https://civic.genome.wustl.edu/links/evidence_items/3758	https://civic.genome.wustl.edu/links/variants/12	https://civic.genome.wustl.edu/links/genes/5
NTRK1	4914	NTRK1 FUSIONS	Cancer	162		Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A			true	false	NTRK1 Fusions predict sensitivity to Larotrectinib in solid tumors	NTRK1 Fusions predict sensitivity to Larotrectinib across cancer types (solid tumors) and patient ages. Objective response rates have been reported as high as 75% in adults and over 90% in children. NTRK1 forms fusions with multiple partner genes. Larotrectinib is FDA approved for the treatment of adult and pediatric patients with solid tumors characterized by an NTRK gene fusion and without an acquired resistance mutation. Eligible patients have metastatic disease, have progressed on the treatment they’re receiving, are without other treatment options, and are not candidates for surgical resection of their tumor.	8	6569,978,2956,6567,1019,2953,2955	419	3983	2020-12-03 03:55:16 UTC	https://civic.genome.wustl.edu/links/assertions/8	https://civic.genome.wustl.edu/links/evidence_items/6569,https://civic.genome.wustl.edu/links/evidence_items/978,https://civic.genome.wustl.edu/links/evidence_items/2956,https://civic.genome.wustl.edu/links/evidence_items/6567,https://civic.genome.wustl.edu/links/evidence_items/1019,https://civic.genome.wustl.edu/links/evidence_items/2953,https://civic.genome.wustl.edu/links/evidence_items/2955	https://civic.genome.wustl.edu/links/variants/419	https://civic.genome.wustl.edu/links/genes/3983
ACVR1	90	G328V	Diffuse Midline Glioma, H3 K27M-mutant	0080684			Diagnostic	Supports	Positive		Tier II - Level C			false	false	Supports diagnosis of diffuse intrinsic pontine glioma.	ACVR1 G328V mutations occur within the kinase domain, leading to activation of downstream signaling. Exclusively seen in high-grade pediatric gliomas, supporting diagnosis of diffuse intrinsic pontine glioma.	9	4846,6955	1686	154	2018-10-16 17:06:39 UTC	https://civic.genome.wustl.edu/links/assertions/9	https://civic.genome.wustl.edu/links/evidence_items/4846,https://civic.genome.wustl.edu/links/evidence_items/6955	https://civic.genome.wustl.edu/links/variants/1686	https://civic.genome.wustl.edu/links/genes/154
BRAF	673	V600E	Melanoma	1909		Cobimetinib,Vemurafenib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600E mutant melanoma is sensitive to vemurafenib and cobimetinib combination therapy	Vemurafenib and cobimetinib combination is an FDA approved and NCCN Category 1 first line treatment for BRAF V600E mutant metastatic melanoma based on clinical data including the Phase III coBRIM trial. NCCN guidelines recommend combination BRAF/MEK inhibitor therapy over BRAF inhibitor monotherapy in this treatment context. Vemurafenib and cobimetinib combination is recommend as Category 2A treatment in second-line or later contexts, and it is recommended to use treatment options different from those used with the patient during first-line therapy. The cobas 4800 BRAF V600 Mutation Test is approved as an FDA companion test for Cotellic (cobimetinib) in combination with Zelboraf (vemurafenib).	10	1421,6966,6044	12	5	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/10	https://civic.genome.wustl.edu/links/evidence_items/1421,https://civic.genome.wustl.edu/links/evidence_items/6966,https://civic.genome.wustl.edu/links/evidence_items/6044	https://civic.genome.wustl.edu/links/variants/12	https://civic.genome.wustl.edu/links/genes/5
BRAF	673	V600K	Melanoma	1909		Vemurafenib,Cobimetinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600K mutant melanoma is sensitive to vemurafenib and cobimetinib combination therapy	Vemurafenib and cobimentinb is an FDA approved and NCCN Category 1 first line treatment for BRAF V600K mutant metastatic melanoma based on clinical data including the Phase III coBRIM trial.  NCCN guidelines recommend combination BRAF/MEK inhibitor therapy over BRAF inhibitor monotherapy in this treatment context. BRAF-targeted therapy are recommend as Category 2A treatment options in second-line or later treatment contexts, and it is recommended to use treatment options different from those used with the patient during first-line therapy. The cobas 4800 BRAF V600 Mutation Test is approved as an FDA companion test for Cotellic (cobimetinib) in combination with Zelboraf (vemurafenib).	11	6966,6044,6965	563	5	2020-01-16 19:05:22 UTC	https://civic.genome.wustl.edu/links/assertions/11	https://civic.genome.wustl.edu/links/evidence_items/6966,https://civic.genome.wustl.edu/links/evidence_items/6044,https://civic.genome.wustl.edu/links/evidence_items/6965	https://civic.genome.wustl.edu/links/variants/563	https://civic.genome.wustl.edu/links/genes/5
